Subgroup,n_windows,sepsis_rate,AUROC,AUPRC,Recall@0.35,Precision@0.35,Alert_rate
Overall,934767,24.6%,0.799,0.572,86.4%,38.2%,55.6%
Age 18-45,141009,23.6%,0.828,0.618,90.7%,37.1%,57.9%
Age 45-65,346165,25.8%,0.808,0.589,88.0%,40.0%,56.8%
Age 65-80,307964,24.6%,0.791,0.562,85.1%,38.1%,54.9%
Age 80+,139629,22.8%,0.763,0.486,80.7%,35.2%,52.1%
LOS Early (0-24h),247387,14.6%,0.810,0.446,67.6%,34.6%,28.5%
LOS Mid (24-72h),270208,18.5%,0.765,0.452,74.8%,31.7%,43.7%
LOS Extended (72h+),417172,34.5%,0.766,0.630,95.2%,41.4%,79.4%
Shift Day (6am-6pm),471797,24.5%,0.799,0.570,86.4%,38.2%,55.4%
Shift Night (6pm-6am),462970,24.8%,0.798,0.574,86.5%,38.3%,55.9%
